Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
3114,2.413,-2.360,49.760,49.874
3126,2.507,-2.493,49.627,49.752
3138,2.573,-2.293,49.667,49.786
3150,2.520,-2.400,49.587,49.709
3161,2.533,-2.293,49.613,49.731
3173,2.453,-2.307,49.707,49.821
3185,2.493,-2.387,49.627,49.747
3219,2.573,-2.507,49.693,49.823
3231,2.560,-2.387,49.720,49.843
3242,2.600,-2.280,49.613,49.734
3254,2.587,-2.227,49.680,49.797
3266,2.507,-2.373,49.533,49.653
3278,2.440,-2.400,49.707,49.824
3290,2.573,-2.320,49.653,49.774
3301,2.533,-2.347,49.533,49.654
3313,2.413,-2.360,49.733,49.848
3325,2.467,-2.360,49.640,49.757
3337,2.467,-2.360,49.613,49.731
3348,2.520,-2.373,49.680,49.800
3360,2.627,-2.373,49.653,49.779
3372,2.507,-2.360,49.667,49.786
3384,2.547,-2.413,49.600,49.724
3418,2.520,-2.320,49.627,49.745
3429,2.600,-2.333,49.600,49.723
3441,2.507,-2.413,49.680,49.802
3453,2.453,-2.280,49.613,49.726
3465,2.467,-2.307,49.720,49.835
3477,2.480,-2.320,49.480,49.596
3488,2.640,-2.387,49.613,49.741
3500,2.493,-2.467,49.667,49.790
3512,2.587,-2.293,49.640,49.760
3524,2.653,-2.227,49.627,49.747
3535,2.453,-2.280,49.560,49.673
3547,2.627,-2.373,49.560,49.686
3559,2.467,-2.333,49.667,49.783
3571,2.480,-2.320,49.720,49.836
3582,2.560,-2.347,49.520,49.642
3616,2.520,-2.253,49.653,49.768
3628,2.533,-2.427,49.560,49.684
3640,2.680,-2.347,49.680,49.808
3652,2.480,-2.307,49.693,49.809
3663,2.520,-2.307,49.787,49.904
3675,2.427,-2.293,49.653,49.765
3687,2.493,-2.413,49.587,49.708
3699,2.520,-2.307,49.547,49.664
3711,2.507,-2.413,49.667,49.788
3722,2.640,-2.267,49.600,49.722
3734,2.533,-2.333,49.680,49.799
3746,2.600,-2.360,49.587,49.711
3758,2.520,-2.280,49.640,49.756
3769,2.547,-2.253,49.653,49.770
3781,2.587,-2.307,49.653,49.774
3815,2.547,-2.373,49.613,49.735
3827,2.613,-2.453,49.680,49.809
3839,2.520,-2.413,49.733,49.856
3850,2.520,-2.400,49.560,49.682
3862,2.453,-2.253,49.613,49.725
3874,2.520,-2.240,49.773,49.887
3886,2.520,-2.333,49.680,49.799
3898,2.533,-2.360,49.760,49.880
3909,2.533,-2.360,49.600,49.721
3921,2.573,-2.467,49.653,49.781
3933,2.520,-2.333,49.560,49.679
3945,2.547,-2.320,49.667,49.786
3956,2.507,-2.267,49.640,49.755
3968,2.387,-2.360,49.760,49.873
3980,2.400,-2.253,49.627,49.736
4014,2.573,-2.280,49.667,49.786
4026,2.640,-2.307,49.600,49.724
4037,2.600,-2.333,49.627,49.749
4049,2.533,-2.267,49.733,49.849
4061,2.547,-2.240,49.640,49.756
4073,2.453,-2.267,49.587,49.699
4084,2.400,-2.213,49.627,49.734
4096,2.520,-2.387,49.720,49.841
4108,2.600,-2.373,49.653,49.778
4120,2.587,-2.413,49.720,49.846
4131,2.440,-2.293,49.640,49.753
4143,2.547,-2.427,49.533,49.658
4155,2.587,-2.360,49.640,49.763
4167,2.587,-2.560,49.667,49.800
4179,2.573,-2.280,49.640,49.759
4190,2.547,-2.347,49.613,49.734
4224,2.547,-2.320,49.680,49.799
4236,2.573,-2.360,49.613,49.736
4248,2.467,-2.333,49.733,49.849
4260,2.533,-2.213,49.693,49.807
4271,2.413,-2.347,49.627,49.741
4283,2.467,-2.320,49.600,49.715
4295,2.507,-2.413,49.653,49.775
4307,2.493,-2.347,49.733,49.851
4318,2.680,-2.360,49.653,49.782
4330,2.480,-2.360,49.587,49.705
4342,2.373,-2.227,49.653,49.760
4354,2.533,-2.347,49.693,49.813
4366,2.547,-2.293,49.613,49.732
4377,2.480,-2.293,49.667,49.781
4389,2.520,-2.240,49.613,49.728
4423,2.400,-2.293,49.720,49.831
4435,2.467,-2.293,49.707,49.821
4447,2.480,-2.307,49.627,49.742
4458,2.453,-2.240,49.587,49.698
4470,2.440,-2.227,49.733,49.843
4482,2.440,-2.400,49.693,49.811
4494,2.480,-2.333,49.627,49.743
4505,2.427,-2.280,49.693,49.805
4517,2.333,-2.320,49.720,49.829
4529,2.600,-2.347,49.640,49.763
4541,2.467,-2.360,49.667,49.784
4552,2.600,-2.373,49.640,49.765
4564,2.453,-2.347,49.560,49.676
4576,2.600,-2.320,49.680,49.802
4588,2.467,-2.360,49.560,49.677
4622,2.600,-2.680,49.800,49.940
4633,2.760,-3.213,50.080,50.259
4645,2.947,-4.133,50.773,51.026
4657,3.093,-5.027,51.400,51.738
4669,3.000,-5.813,52.133,52.542
4681,2.920,-6.253,52.427,52.879
4692,2.920,-6.320,52.720,53.178
4704,2.840,-6.200,52.760,53.199
4716,2.600,-6.293,52.853,53.290
4728,2.427,-6.307,53.160,53.588
4739,2.147,-6.933,53.760,54.248
4751,1.840,-7.973,54.240,54.854
4763,1.320,-8.867,54.653,55.384
4775,1.027,-9.947,55.173,56.072
4786,0.493,-11.067,55.320,56.418
4820,-0.200,-13.000,55.267,56.775
4832,-0.227,-13.827,54.987,56.699
4844,-0.027,-14.600,54.667,56.583
4856,0.493,-15.227,54.013,56.121
4868,1.120,-16.013,53.453,55.812
4879,1.827,-16.773,52.667,55.303
4891,2.587,-17.440,51.813,54.731
4903,3.293,-18.413,51.093,54.410
4915,3.960,-19.000,50.400,54.008
4926,4.280,-19.880,49.707,53.706
4938,4.600,-20.547,49.187,53.504
4950,4.733,-21.307,48.880,53.532
4962,4.667,-21.853,48.827,53.697
4973,4.387,-22.320,48.773,53.817
4985,3.960,-22.493,48.893,53.965
5019,2.920,-21.907,49.453,54.167
5031,2.133,-21.587,49.653,54.185
5043,1.453,-20.800,49.960,54.136
5054,0.440,-19.973,50.640,54.438
5066,-0.533,-19.173,50.907,54.400
5078,-1.507,-18.120,51.333,54.458
5090,-2.653,-17.120,51.547,54.380
5102,-3.827,-16.067,51.600,54.179
5113,-4.947,-14.893,51.733,54.061
5125,-6.160,-13.733,51.613,53.763
5137,-7.533,-13.093,51.227,53.407
5149,-8.520,-11.947,50.827,52.902
5160,-9.587,-11.400,50.493,52.644
5172,-10.493,-10.827,50.093,52.313
5184,-11.107,-10.467,49.547,51.844
5196,-11.747,-10.080,49.000,51.387
5230,-12.813,-9.693,48.267,50.871
5241,-13.213,-9.560,47.733,50.443
5253,-13.320,-9.333,47.347,50.062
5265,-13.787,-9.227,47.053,49.892
5277,-13.947,-9.200,46.827,49.718
5289,-13.987,-9.107,46.333,49.248
5300,-14.173,-8.800,46.053,48.982
5312,-14.240,-8.560,45.733,48.658
5324,-14.373,-8.507,45.227,48.212
5336,-14.627,-8.200,44.960,47.985
5347,-14.613,-8.120,44.587,47.618
5359,-14.800,-7.973,44.227,47.314
5371,-14.813,-7.867,43.987,47.076
5383,-14.840,-7.840,43.653,46.769
5417,-14.787,-7.840,43.160,46.291
5428,-14.667,-7.533,42.893,45.953
5440,-14.693,-7.560,42.573,45.668
5452,-14.800,-7.560,42.187,45.342
5464,-14.693,-7.547,41.853,44.995
5475,-14.787,-7.613,41.733,44.925
5487,-14.693,-7.653,41.307,44.505
5499,-14.693,-7.653,40.933,44.159
5511,-14.773,-7.640,40.547,43.825
5523,-14.653,-7.800,40.333,43.616
5534,-14.787,-7.920,40.093,43.461
5546,-14.587,-7.880,39.827,43.140
5558,-14.707,-7.947,39.547,42.935
5570,-14.333,-8.027,39.160,42.466
5581,-14.333,-7.840,38.987,42.271
5615,-14.053,-8.027,38.280,41.561
5627,-14.107,-8.227,37.960,41.324
5639,-13.933,-8.333,37.653,41.004
5651,-13.813,-8.347,37.573,40.893
5662,-13.800,-8.467,37.333,40.693
5674,-13.693,-8.587,36.947,40.327
5686,-13.587,-8.587,36.827,40.181
5698,-13.400,-8.787,36.613,39.966
5710,-13.387,-8.693,36.360,39.709
5721,-13.280,-8.800,36.080,39.441
5733,-13.053,-9.013,35.840,39.194
5745,-13.040,-8.960,35.680,39.031
5757,-12.933,-8.987,35.507,38.843
5768,-12.800,-9.080,35.267,38.601
5780,-12.707,-9.067,35.160,38.469
5814,-12.453,-9.240,34.933,38.220
5826,-12.320,-9.253,34.733,37.998
5838,-12.240,-9.187,34.693,37.919
5849,-12.027,-9.067,34.373,37.528
5861,-11.973,-9.160,34.360,37.522
5873,-11.827,-9.093,34.187,37.300
5885,-11.680,-9.080,34.093,37.165
5897,-11.480,-8.973,33.800,36.807
5908,-11.160,-8.973,33.600,36.524
5920,-11.120,-8.920,33.440,36.352
5932,-11.053,-8.880,33.267,36.162
5944,-10.840,-8.907,33.000,35.859
5955,-10.600,-8.840,32.907,35.684
5967,-10.453,-8.760,32.867,35.584
5979,-10.440,-8.747,32.613,35.343
6013,-10.107,-8.680,32.200,34.847
6025,-9.907,-8.720,32.067,34.676
6036,-9.880,-8.867,31.920,34.570
6048,-9.667,-8.720,31.747,34.312
6060,-9.400,-8.707,31.600,34.099
6072,-9.320,-8.493,31.400,33.837
6084,-8.920,-8.520,31.320,33.662
6095,-8.667,-8.520,31.227,33.508
6107,-8.373,-8.440,31.093,33.289
6119,-8.213,-8.373,30.933,33.082
6131,-8.133,-8.467,30.827,32.987
6142,-7.907,-8.280,30.627,32.697
6154,-7.360,-8.240,30.573,32.508
6166,-7.173,-8.160,30.453,32.333
6178,-6.787,-8.213,30.280,32.100
6189,-6.520,-7.933,30.307,31.999
6223,-5.960,-7.867,29.907,31.493
6235,-5.707,-7.693,29.787,31.289
6247,-5.333,-7.653,29.467,30.908
6259,-5.027,-7.493,29.253,30.613
6270,-4.840,-7.520,29.173,30.513
6282,-4.453,-7.307,28.720,29.968
6294,-3.987,-7.280,28.453,29.639
6306,-3.480,-7.107,28.120,29.212
6318,-2.947,-7.147,27.707,28.765
6329,-2.653,-7.000,27.147,28.160
6341,-2.360,-6.960,26.280,27.288
6353,-1.787,-6.840,25.387,26.353
6365,-1.507,-6.600,24.600,25.515
6376,-1.107,-6.440,23.840,24.719
6388,-0.467,-6.187,22.920,23.745
6422,1.267,-5.840,21.387,22.206
6434,2.293,-5.493,20.613,21.456
6446,3.347,-5.227,19.827,20.775
6457,4.413,-4.973,19.000,20.130
6469,5.693,-4.667,18.120,19.558
6481,7.107,-4.280,17.227,19.120
6493,8.453,-3.880,16.013,18.519
6505,9.867,-3.427,14.707,18.038
6516,11.267,-2.973,13.507,17.838
6528,12.680,-2.587,12.080,17.703
6540,14.187,-2.067,10.760,17.925
6552,16.067,-1.520,9.227,18.590
6563,17.667,-1.067,7.893,19.379
6575,19.627,-0.373,6.440,20.660
6587,21.547,0.213,5.080,22.138
6621,25.800,1.387,2.507,25.959
6633,28.027,2.093,0.973,28.122
6644,30.533,2.973,-0.627,30.684
6656,33.120,3.707,-2.213,33.400
6668,35.547,4.333,-3.947,36.027
6680,38.347,5.013,-5.773,39.102
6692,41.440,5.813,-7.507,42.514
6703,44.533,6.507,-9.133,45.924
6715,47.773,7.507,-10.693,49.528
6727,51.347,8.400,-12.267,53.456
6739,54.947,9.440,-13.760,57.425
6750,58.880,10.267,-15.267,61.687
6762,62.867,11.533,-17.107,66.166
6774,66.733,12.520,-19.160,70.549
6786,70.853,13.733,-21.360,75.267
6820,79.493,16.307,-25.547,85.075
6831,84.080,17.667,-27.040,90.071
6843,89.267,19.187,-28.053,95.518
6855,94.507,20.947,-28.800,100.994
6867,100.040,22.693,-29.200,106.657
6878,105.800,24.693,-29.453,112.565
6890,111.680,26.547,-30.040,118.657
6902,117.360,28.653,-30.320,124.554
6914,123.400,30.760,-30.853,130.865
6926,129.147,32.747,-31.333,136.868
6937,134.987,34.667,-32.040,143.003
6949,140.853,36.653,-32.640,149.159
6961,146.693,38.467,-33.520,155.313
6973,152.293,40.427,-34.267,161.251
6984,158.160,42.387,-35.080,167.457
7018,170.173,46.227,-36.493,180.077
7030,176.267,48.453,-37.560,186.624
7042,181.960,50.707,-38.533,192.783
7054,187.787,53.147,-39.733,199.166
7065,193.613,55.427,-40.800,205.482
7077,199.667,58.240,-42.000,212.185
7089,206.067,61.040,-43.240,219.224
7101,212.720,64.240,-44.853,226.690
7113,219.587,67.693,-46.693,234.480
7124,226.880,71.373,-48.587,242.754
7136,234.640,75.293,-50.307,251.507
7148,242.800,79.307,-52.133,260.690
7160,251.280,83.227,-53.960,270.148
7171,259.773,87.053,-55.493,279.535
7183,268.320,91.387,-57.267,289.183
7217,285.653,99.960,-60.453,308.617
7229,294.320,104.467,-61.973,318.400
7241,302.933,109.267,-63.093,328.159
7253,311.653,114.347,-64.160,338.112
7264,320.560,119.707,-65.000,348.301
7276,329.693,125.187,-65.800,358.746
7288,338.600,130.880,-66.533,369.061
7300,347.587,136.747,-67.333,379.539
7311,356.440,142.880,-68.013,389.987
7323,365.347,149.133,-68.960,400.593
7335,374.133,155.413,-70.240,411.172
7347,382.573,162.080,-71.613,421.617
7358,390.733,168.680,-72.427,431.707
7370,398.520,175.600,-73.040,441.575
7382,406.093,182.520,-72.960,451.164
7394,413.560,189.827,-72.533,460.790
7428,427.933,204.547,-70.467,479.512
7440,434.827,212.120,-69.093,488.716
