Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
241105,-31.347,10.920,-9.960,34.656
241116,-31.240,10.933,-10.067,34.595
241128,-31.200,10.947,-9.947,34.528
241140,-31.227,10.813,-9.987,34.522
241152,-31.160,10.987,-9.947,34.505
241163,-31.240,10.933,-10.027,34.583
241175,-31.360,10.947,-9.987,34.684
241187,-31.400,10.880,-10.000,34.704
241199,-31.413,10.960,-9.933,34.722
241211,-31.093,11.147,-9.973,34.504
241222,-31.240,10.920,-10.027,34.579
241234,-31.333,10.867,-10.013,34.643
241246,-31.147,10.827,-9.920,34.435
241258,-31.307,10.960,-9.893,34.614
241269,-31.200,10.893,-9.920,34.504
241303,-31.267,10.880,-10.013,34.587
241315,-31.307,10.973,-9.920,34.626
241327,-31.333,10.987,-10.027,34.685
241339,-31.320,10.720,-9.880,34.547
241351,-31.133,10.920,-9.880,34.440
241362,-31.267,10.947,-9.907,34.577
241374,-31.400,10.853,-9.907,34.668
241386,-31.320,10.853,-9.880,34.588
241398,-31.267,10.973,-10.080,34.636
241409,-31.307,10.973,-9.960,34.637
241421,-31.293,10.800,-9.867,34.544
241433,-31.173,10.827,-9.853,34.440
241445,-31.173,10.880,-9.893,34.468
241457,-31.227,10.947,-10.053,34.583
241468,-31.267,10.760,-9.827,34.496
241502,-31.147,10.893,-10.027,34.486
241514,-31.200,10.920,-9.933,34.516
241526,-31.400,10.867,-9.933,34.680
241538,-31.240,10.920,-9.987,34.568
241549,-31.093,10.800,-9.920,34.378
241561,-31.240,10.800,-9.960,34.522
241573,-31.307,10.813,-9.973,34.591
241585,-31.307,10.880,-10.000,34.619
241596,-31.360,10.933,-9.907,34.657
241608,-31.333,10.880,-9.880,34.609
241620,-31.293,10.827,-9.787,34.529
241632,-31.187,10.933,-9.907,34.501
241644,-31.107,10.973,-9.920,34.445
241655,-31.293,10.893,-9.853,34.569
241667,-31.333,10.920,-9.947,34.640
241701,-31.107,10.987,-10.093,34.499
241713,-31.200,11.040,-10.040,34.585
241725,-31.293,10.947,-10.040,34.640
241736,-31.280,10.773,-9.907,34.535
241748,-31.240,10.933,-9.920,34.553
241760,-31.267,10.840,-9.920,34.547
241772,-31.293,10.840,-9.853,34.552
241784,-31.213,10.867,-9.773,34.466
241795,-31.293,10.867,-9.893,34.572
241807,-31.320,10.907,-9.960,34.628
241819,-31.227,10.867,-9.867,34.504
241831,-31.200,10.920,-9.867,34.497
241842,-31.187,10.893,-10.040,34.526
241854,-31.253,10.840,-9.987,34.554
241866,-31.173,10.773,-9.907,34.438
241900,-31.280,10.880,-9.960,34.583
241912,-31.240,11.000,-10.080,34.620
241923,-31.280,10.893,-9.893,34.569
241935,-31.253,10.760,-9.907,34.506
241947,-31.133,10.813,-9.960,34.430
241959,-31.200,10.800,-9.880,34.463
241971,-31.187,10.840,-9.840,34.452
241982,-31.227,10.987,-9.867,34.542
241994,-31.387,10.893,-10.013,34.699
242006,-31.373,10.947,-9.880,34.666
242018,-31.307,10.787,-9.933,34.571
242029,-31.187,10.893,-10.013,34.519
242041,-31.173,10.987,-9.920,34.509
242053,-31.413,10.733,-9.947,34.655
242065,-31.213,10.920,-9.760,34.479
242099,-31.253,10.947,-10.093,34.619
242110,-31.320,10.973,-9.893,34.630
242122,-31.267,10.933,-9.947,34.584
242134,-31.200,10.973,-9.893,34.521
242146,-31.200,10.747,-9.893,34.450
242158,-31.240,10.787,-9.840,34.484
242169,-31.187,10.853,-9.947,34.487
242181,-31.267,10.880,-9.933,34.564
242193,-31.347,10.960,-10.027,34.688
242205,-31.387,10.840,-9.787,34.618
242216,-31.107,10.907,-9.827,34.397
242228,-31.253,10.973,-9.933,34.581
242240,-31.253,10.987,-9.867,34.566
242252,-31.320,10.773,-9.827,34.548
242264,-31.213,10.853,-9.880,34.492
242275,-31.173,10.920,-9.893,34.480
242309,-31.253,10.947,-9.987,34.588
242321,-31.173,10.933,-9.853,34.473
242333,-31.227,11.000,-9.920,34.562
242345,-31.267,10.773,-9.933,34.530
242356,-31.293,10.667,-9.813,34.487
242368,-31.293,10.853,-9.933,34.579
242380,-31.307,10.933,-9.960,34.624
242392,-31.400,10.867,-9.880,34.665
242404,-31.253,10.893,-9.867,34.537
