Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
46813,6.360,-217.333,23.120,218.652
46825,6.347,-217.227,22.667,218.498
46837,6.507,-217.187,22.667,218.463
46848,6.413,-217.267,22.453,218.518
46860,6.373,-217.373,22.467,218.624
46872,6.520,-217.307,22.693,218.586
46884,6.707,-217.013,22.333,218.263
46896,6.627,-216.653,22.173,217.886
46907,6.467,-216.267,22.000,217.479
46919,6.787,-215.907,21.773,217.108
46931,6.800,-215.947,21.480,217.119
46943,6.627,-215.987,21.320,217.138
46954,6.627,-215.960,21.120,217.091
46966,6.653,-215.773,21.293,216.924
46978,6.480,-215.733,21.293,216.878
46990,6.320,-215.693,21.627,216.867
47024,5.947,-215.533,22.427,216.779
47035,6.013,-215.493,22.787,216.778
47047,5.787,-215.387,23.093,216.698
47059,5.520,-215.000,23.133,216.311
47071,5.427,-215.000,23.080,216.303
47083,5.493,-215.187,22.933,216.475
47094,5.573,-215.093,23.067,216.398
47106,5.467,-215.213,23.240,216.534
47118,5.600,-215.307,23.173,216.623
47130,5.520,-215.320,23.320,216.649
47141,5.600,-215.360,23.267,216.686
47153,5.360,-215.173,23.547,216.524
47165,5.427,-215.067,23.427,216.407
47177,5.493,-214.813,23.493,216.164
47189,5.347,-214.880,23.213,216.196
47223,5.440,-214.827,22.987,216.121
47234,5.493,-214.760,22.973,216.055
47246,5.280,-214.707,23.413,216.044
47258,5.160,-214.453,23.507,215.799
47270,5.213,-214.427,23.507,215.774
47281,5.187,-214.507,23.107,215.810
47293,5.027,-214.400,23.080,215.697
47305,5.013,-214.373,23.067,215.669
47317,5.160,-214.453,22.893,215.734
47329,5.120,-214.427,22.707,215.686
47340,5.133,-214.533,22.747,215.797
47352,5.173,-214.520,22.840,215.794
47364,5.067,-214.200,22.893,215.480
47376,5.107,-214.320,22.840,215.594
47387,4.987,-214.307,22.680,215.561
47421,5.173,-214.173,22.280,215.391
47433,5.013,-214.293,22.307,215.510
47445,5.200,-214.320,22.267,215.536
47457,5.027,-214.267,22.453,215.499
47468,5.160,-214.453,22.453,215.687
47480,5.040,-214.440,22.480,215.674
47492,4.973,-214.373,22.507,215.609
47504,5.000,-214.267,22.587,215.512
47516,5.093,-214.173,22.427,215.405
47527,5.213,-214.200,22.493,215.441
47539,4.987,-214.053,22.467,215.287
47551,5.173,-214.093,22.480,215.332
47563,5.227,-214.280,22.373,215.508
47574,5.147,-214.467,22.573,215.713
47586,5.080,-214.373,22.613,215.623
47598,5.067,-214.227,22.773,215.493
47632,4.907,-214.120,22.773,215.384
47644,4.973,-214.173,22.840,215.445
47655,5.107,-214.467,23.027,215.760
47667,5.200,-214.573,22.973,215.862
47679,5.000,-214.453,23.080,215.750
47691,4.947,-214.520,22.987,215.805
47703,5.160,-214.480,22.907,215.761
47714,5.253,-214.600,22.467,215.837
47726,5.267,-214.600,22.413,215.832
47738,5.293,-214.387,22.093,215.587
47750,5.387,-214.533,21.893,215.715
47761,5.467,-214.573,21.680,215.735
47773,5.533,-214.880,21.413,216.015
47785,5.307,-215.000,21.413,216.129
47797,5.693,-215.040,21.533,216.190
47831,5.413,-214.973,21.400,216.104
47843,5.400,-214.880,21.520,216.022
47854,5.333,-214.960,21.427,216.091
47866,5.467,-215.133,21.013,216.226
47878,5.413,-215.480,20.600,216.530
47890,5.400,-215.480,20.413,216.512
47901,5.440,-215.347,20.453,216.384
47913,5.347,-215.240,20.653,216.295
47925,5.173,-215.200,20.453,216.232
47937,5.173,-215.200,20.667,216.252
47949,5.120,-215.253,20.493,216.287
47960,5.320,-215.320,19.973,216.310
47972,5.173,-215.133,19.893,216.113
47984,5.107,-215.227,19.707,216.187
47996,5.213,-215.120,19.467,216.062
48030,5.213,-215.507,18.920,216.398
48041,5.373,-215.640,18.813,216.526
48053,5.560,-216.027,18.293,216.871
48065,5.573,-216.427,17.667,217.218
48077,5.853,-216.787,16.947,217.527
48088,6.227,-217.400,16.240,218.095
48100,6.507,-218.040,15.307,218.673
48112,6.933,-218.493,14.427,219.079
48124,7.200,-219.040,14.080,219.610
48136,7.707,-219.747,13.413,220.291
48147,8.067,-220.307,12.787,220.825
48159,8.200,-220.707,12.733,221.226
48171,8.360,-221.013,12.773,221.540
48183,8.427,-221.173,12.760,221.701
48194,8.613,-221.267,12.653,221.795
48228,8.720,-221.907,12.053,222.405
48240,8.867,-222.173,11.573,222.651
48252,9.187,-222.640,10.560,223.080
48264,9.613,-223.240,9.653,223.655
48276,9.773,-223.840,8.280,224.206
48287,10.200,-224.560,7.013,224.901
48299,10.600,-225.013,5.813,225.338
48311,10.720,-225.280,4.733,225.585
48323,10.613,-225.373,3.680,225.653
48334,10.907,-225.600,2.307,225.875
48346,10.933,-225.773,0.987,226.040
48358,10.973,-225.787,-0.573,226.054
48370,10.693,-225.467,-2.307,225.732
48381,10.733,-225.133,-4.653,225.437
48393,10.613,-224.760,-7.293,225.129
48405,10.573,-224.133,-9.840,224.598
48439,10.253,-222.987,-13.373,223.623
48451,10.227,-222.493,-14.387,223.192
48463,10.000,-222.347,-14.880,223.068
48474,10.200,-222.227,-15.413,222.994
48486,10.187,-222.187,-15.573,222.965
48498,9.947,-222.267,-16.000,223.064
48510,9.920,-222.267,-16.320,223.086
48521,9.693,-222.053,-16.600,222.884
48533,9.853,-222.040,-17.253,222.927
48545,9.893,-222.360,-17.733,223.285
48557,10.040,-222.320,-18.293,223.297
48569,10.013,-222.427,-18.733,223.439
48580,10.360,-222.760,-19.453,223.848
48592,10.907,-223.440,-20.627,224.655
