Timestamp(ms),M_x(µT),M_y(µT),M_z(µT),M(µT)
25815,6.627,10.827,20.440,24.061
25827,6.573,10.800,20.307,23.921
25839,6.680,10.813,20.440,24.070
25851,6.800,10.827,20.307,23.996
25863,6.667,10.827,20.400,24.038
25874,6.640,10.880,20.213,23.897
25908,6.640,10.760,20.307,23.921
25920,6.680,10.933,20.133,23.864
25932,6.613,10.840,20.333,23.973
25944,6.707,10.613,20.387,23.942
25955,6.760,10.653,20.333,23.930
25967,6.747,10.920,20.320,24.035
25979,6.573,10.720,20.427,23.987
25991,6.547,10.747,20.440,24.003
26002,6.760,10.880,20.387,24.077
26014,6.747,10.853,20.320,24.004
26026,6.573,10.840,20.373,23.996
26038,6.733,10.747,20.480,24.089
26050,6.733,10.787,20.307,23.959
26061,6.667,10.760,20.307,23.929
26095,6.653,10.787,20.267,23.903
26107,6.640,10.933,20.320,24.011
26119,6.640,10.893,20.253,23.936
26131,6.760,10.920,20.253,23.982
26142,6.693,10.720,20.387,23.986
26154,6.773,10.747,20.387,24.021
26166,6.707,10.867,20.320,23.999
26178,6.507,10.933,20.453,24.088
26189,6.560,10.707,20.387,23.943
26201,6.747,11.000,20.307,24.060
26213,6.573,10.880,20.253,23.912
26225,6.613,10.773,20.413,24.011
26237,6.653,10.867,20.293,23.962
26248,6.760,10.787,20.387,24.035
26260,6.493,10.787,20.347,23.927
26294,6.747,10.773,20.187,23.855
26306,6.707,10.920,20.307,24.012
26318,6.640,10.933,20.293,23.988
26329,6.760,10.800,20.333,23.995
26341,6.787,10.773,20.373,24.025
26353,6.787,10.827,20.387,24.060
26365,6.520,10.813,20.293,23.901
26376,6.533,10.760,20.440,24.005
26388,6.707,10.813,20.360,24.009
26400,6.653,10.867,20.307,23.973
26412,6.680,10.893,20.267,23.959
26423,6.667,10.773,20.333,23.957
26435,6.667,10.840,20.453,24.089
26447,6.653,10.747,20.440,24.032
26481,6.533,10.987,20.333,24.017
26493,6.600,10.867,20.213,23.879
26505,6.640,10.973,20.347,24.052
26516,6.453,10.867,20.240,23.862
26528,6.480,10.773,20.400,23.963
26540,6.493,10.907,20.533,24.140
26552,6.493,10.867,20.333,23.952
26563,6.280,10.933,20.400,23.982
26575,6.360,10.880,20.293,23.888
26587,6.480,10.893,20.467,24.074
26599,6.427,10.813,20.427,23.989
26611,6.560,10.933,20.387,24.046
26622,6.440,10.907,20.453,24.058
26634,6.480,10.893,20.453,24.062
26668,6.320,11.000,20.240,23.887
26680,6.227,11.067,20.267,23.916
26692,6.440,10.920,20.453,24.064
26703,6.480,10.880,20.387,24.000
26715,6.533,10.920,20.360,24.010
26727,6.467,10.840,20.480,24.057
26739,6.667,10.893,20.507,24.158
26750,6.413,10.973,20.440,24.069
26762,6.347,10.973,20.400,24.018
26774,6.320,10.893,20.467,24.031
26786,6.613,10.787,20.413,24.017
26797,6.493,10.880,20.480,24.083
26809,6.360,10.947,20.347,23.964
26821,6.533,10.813,20.413,24.007
26855,6.520,10.827,20.267,23.884
26867,6.347,11.120,20.293,23.995
26879,6.373,10.827,20.453,24.004
26890,6.427,10.880,20.520,24.099
26902,6.600,10.787,20.347,23.956
26914,6.333,10.747,20.507,24.003
26926,6.320,10.867,20.560,24.099
26937,6.400,10.907,20.467,24.058
26949,6.373,10.880,20.240,23.846
26961,6.373,10.840,20.373,23.942
26973,6.320,10.933,20.413,24.004
26984,6.467,10.920,20.533,24.139
26996,6.427,10.973,20.360,24.005
27008,6.267,10.827,20.413,23.941
27020,6.413,10.813,20.507,24.054
27054,6.400,10.947,20.293,23.929
27065,6.413,10.853,20.267,23.868
27077,6.467,10.840,20.547,24.114
27089,6.533,10.880,20.427,24.048
27101,6.480,10.840,20.413,24.004
27113,6.387,10.960,20.520,24.124
27124,6.373,10.893,20.453,24.034
27136,6.347,10.853,20.440,23.997
27170,6.467,10.680,20.387,23.906
27182,6.507,10.813,20.480,24.056
27194,6.360,10.760,20.600,24.095
27205,6.413,10.840,20.520,24.077
27217,6.293,10.947,20.387,23.980
27229,6.400,10.893,20.413,24.007
27241,6.347,10.960,20.493,24.091
27252,6.573,10.853,20.507,24.115
27264,6.493,10.893,20.573,24.168
27276,6.453,10.787,20.413,23.973
27288,6.387,10.867,20.373,23.957
27322,6.493,10.880,20.307,23.935
27333,6.347,10.827,20.280,23.849
27345,6.293,10.720,20.493,23.969
27357,6.427,10.667,20.573,24.049
27369,6.627,10.693,20.387,23.956
27381,6.480,10.933,20.387,24.024
27392,6.267,10.853,20.547,24.067
27404,6.227,10.773,20.427,23.918
27416,6.400,10.867,20.493,24.063
27428,6.440,10.947,20.320,23.963
27439,6.400,10.840,20.493,24.051
27451,6.440,10.813,20.573,24.118
27463,6.573,10.853,20.440,24.058
27475,6.413,10.880,20.427,24.016
27486,6.413,10.893,20.573,24.147
27520,6.480,10.907,20.253,23.899
27532,6.467,11.027,20.413,24.085
27544,6.507,10.933,20.440,24.076
27556,6.453,10.773,20.453,24.001
27568,6.573,10.840,20.440,24.052
27579,6.640,10.920,20.427,24.095
27591,6.467,10.893,20.400,24.013
27603,6.493,10.907,20.533,24.140
27615,6.533,10.707,20.453,23.993
27626,6.333,10.880,20.493,24.051
27638,6.520,10.867,20.547,24.140
27650,6.587,10.920,20.493,24.137
27662,6.560,10.827,20.453,24.054
27673,6.520,10.747,20.413,23.973
27707,6.533,10.867,20.547,24.144
27719,6.613,10.747,20.307,23.908
27731,6.587,10.813,20.373,23.987
27743,6.547,10.787,20.480,24.055
27754,6.667,10.720,20.507,24.081
27766,6.520,10.960,20.520,24.160
27778,6.440,10.827,20.573,24.124
27790,6.480,10.787,20.560,24.105
27802,6.560,10.813,20.507,24.093
27813,6.573,10.907,20.493,24.128
27825,6.440,10.827,20.480,24.044
27837,6.480,10.893,20.507,24.108
27849,6.573,10.733,20.587,24.129
27860,6.560,10.867,20.533,24.140
27894,6.480,10.813,20.467,24.038
27906,6.653,11.027,20.520,24.227
27918,6.627,10.920,20.467,24.126
27930,6.520,10.747,20.560,24.098
27941,6.360,10.773,20.613,24.113
27953,6.480,10.880,20.520,24.113
27965,6.547,10.933,20.400,24.053
27977,6.427,10.867,20.573,24.138
27989,6.427,10.867,20.520,24.093
28000,6.493,10.840,20.533,24.110
28012,6.440,10.853,20.480,24.056
28024,6.667,10.800,20.480,24.094
28036,6.613,10.907,20.560,24.195
28047,6.507,10.907,20.547,24.155
28059,6.413,10.920,20.547,24.136
28093,6.413,11.013,20.640,24.258
28105,6.467,11.027,20.560,24.210
28117,6.640,10.893,20.507,24.151
28128,6.560,10.787,20.480,24.059
28140,6.640,10.760,20.533,24.114
28152,6.440,10.827,20.493,24.056
28164,6.507,10.787,20.400,23.976
28175,6.400,10.867,20.493,24.063
28187,6.573,10.973,20.480,24.146
28199,6.707,10.960,20.387,24.098
28211,6.640,10.827,20.413,24.042
28223,6.600,10.893,20.453,24.095
28234,6.560,10.760,20.427,24.001
28246,6.467,10.893,20.467,24.070
28280,6.640,10.853,20.440,24.077
28292,6.493,10.920,20.387,24.021
28304,6.707,10.840,20.400,24.055
28315,6.667,10.853,20.387,24.039
28327,6.733,10.760,20.360,23.993
28339,6.613,10.813,20.587,24.176
28351,6.613,10.933,20.333,24.015
28362,6.440,10.867,20.280,23.892
28374,6.613,10.773,20.520,24.101
28386,6.680,10.787,20.427,24.046
28398,6.720,10.787,20.493,24.114
28410,6.560,10.987,20.267,23.968
28421,6.693,10.773,20.467,24.078
28433,6.733,10.853,20.480,24.136
28467,6.573,10.867,20.453,24.076
28479,6.760,10.893,20.293,24.004
28491,6.747,10.813,20.440,24.088
28502,6.667,10.813,20.333,23.975
28514,6.707,10.680,20.387,23.972
28526,6.680,10.893,20.493,24.151
28538,6.613,10.747,20.387,23.976
28549,6.667,10.867,20.360,24.022
28561,6.627,10.800,20.267,23.902
28573,6.680,10.760,20.373,23.989
28585,6.640,10.800,20.453,24.064
28596,6.653,10.827,20.387,24.023
28608,6.587,10.907,20.333,23.996
28620,6.720,10.947,20.493,24.186
28632,6.787,10.840,20.373,24.055
28666,6.693,11.000,20.187,23.944
28678,6.480,10.973,20.267,23.940
28689,6.680,10.853,20.387,24.042
28701,6.773,10.973,20.293,24.044
28713,6.680,10.787,20.307,23.944
28725,6.667,10.867,20.413,24.067
28736,6.693,10.920,20.387,24.076
28748,6.667,10.853,20.307,23.971
28760,6.653,10.893,20.293,23.974
28772,6.520,10.800,20.320,23.918
28783,6.573,10.867,20.413,24.042
28795,6.760,10.813,20.400,24.058
28807,6.707,10.840,20.413,24.066
28819,6.653,10.880,20.333,24.002
28853,6.653,10.813,20.307,23.949
28864,6.520,10.853,20.347,23.964
28876,6.680,10.760,20.547,24.136
28888,6.707,10.813,20.373,24.020
28900,6.613,10.827,20.360,23.989
28912,6.600,10.893,20.413,24.061
28923,6.547,10.920,20.547,24.172
